cap,surviving_tbox_repairs
1000,101438
999,101347
998,101256
997,101165
996,101074
995,100983
994,100892
993,100801
992,100710
991,100619
990,100528
989,100437
988,100346
987,100255
986,100164
985,100073
984,99982
983,99891
982,99800
981,99709
980,99618
979,99527
978,99436
977,99345
976,99254
975,99163
974,99072
973,98981
972,98890
971,98799
970,98708
969,98617
968,98526
967,98435
966,98344
965,98253
964,98162
963,98071
962,97980
961,97889
960,97798
959,97707
958,97616
957,97525
956,97434
955,97342
954,97250
953,97158
952,97066
951,96974
950,96882
949,96790
948,96698
947,96606
946,96514
945,96422
944,96330
943,96238
942,96146
941,96054
940,95962
939,95870
938,95778
937,95686
936,95594
935,95502
934,95410
933,95318
932,95226
931,95134
930,95042
929,94950
928,94858
927,94766
926,94674
925,94582
924,94490
923,94398
922,94306
921,94214
920,94122
919,94030
918,93938
917,93846
916,93754
915,93662
914,93570
913,93478
912,93386
911,93294
910,93202
909,93110
908,93018
907,92926
906,92834
905,92742
904,92650
903,92558
902,92466
901,92374
900,92282
899,92190
898,92098
897,92006
896,91914
895,91822
894,91730
893,91638
892,91546
891,91454
890,91362
889,91270
888,91178
887,91086
886,90994
885,90902
884,90810
883,90718
882,90626
881,90534
880,90442
879,90350
878,90258
877,90166
876,90074
875,89982
874,89890
873,89798
872,89706
871,89614
870,89522
869,89430
868,89338
867,89246
866,89154
865,89062
864,88970
863,88878
862,88786
861,88694
860,88602
859,88510
858,88418
857,88326
856,88234
855,88142
854,88050
853,87958
852,87866
851,87773
850,87680
849,87587
848,87494
847,87401
846,87308
845,87215
844,87122
843,87029
842,86936
841,86843
840,86750
839,86657
838,86564
837,86471
836,86378
835,86285
834,86192
833,86099
832,86006
831,85913
830,85820
829,85727
828,85634
827,85541
826,85448
825,85355
824,85262
823,85169
822,85076
821,84983
820,84890
819,84797
818,84704
817,84611
816,84518
815,84425
814,84332
813,84239
812,84146
811,84053
810,83960
809,83867
808,83774
807,83681
806,83588
805,83495
804,83402
803,83309
802,83216
801,83123
800,83030
799,82937
798,82844
797,82751
796,82658
795,82565
794,82472
793,82379
792,82286
791,82193
790,82100
789,82007
788,81914
787,81821
786,81728
785,81635
784,81542
783,81449
782,81356
781,81263
780,81170
779,81077
778,80984
777,80891
776,80798
775,80705
774,80612
773,80519
772,80426
771,80333
770,80240
769,80147
768,80054
767,79961
766,79868
765,79775
764,79682
763,79589
762,79496
761,79403
760,79310
759,79217
758,79124
757,79031
756,78938
755,78845
754,78752
753,78659
752,78566
751,78473
750,78380
749,78287
748,78194
747,78101
746,78008
745,77915
744,77822
743,77729
742,77636
741,77543
740,77450
739,77357
738,77264
737,77171
736,77078
735,76985
734,76892
733,76799
732,76706
731,76613
730,76520
729,76427
728,76334
727,76241
726,76148
725,76055
724,75962
723,75869
722,75776
721,75683
720,75590
719,75497
718,75404
717,75311
716,75218
715,75125
714,75032
713,74939
712,74846
711,74753
710,74660
709,74567
708,74474
707,74381
706,74288
705,74195
704,74102
703,74009
702,73916
701,73823
700,73730
699,73637
698,73544
697,73451
696,73358
695,73265
694,73172
693,73079
692,72986
691,72893
690,72800
689,72707
688,72614
687,72521
686,72428
685,72335
684,72242
683,72149
682,72056
681,71963
680,71870
679,71777
678,71684
677,71591
676,71498
675,71405
674,71312
673,71219
672,71126
671,71033
670,70940
669,70847
668,70754
667,70661
666,70568
665,70475
664,70382
663,70287
662,70192
661,70097
660,70002
659,69907
658,69812
657,69717
656,69622
655,69527
654,69432
653,69337
652,69242
651,69147
650,69052
649,68957
648,68862
647,68767
646,68672
645,68577
644,68482
643,68387
642,68292
641,68197
640,68102
639,68007
638,67912
637,67817
636,67722
635,67627
634,67532
633,67437
632,67342
631,67247
630,67152
629,67057
628,66962
627,66867
626,66772
625,66677
624,66582
623,66487
622,66392
621,66297
620,66202
619,66107
618,66012
617,65917
616,65822
615,65727
614,65632
613,65537
612,65442
611,65347
610,65252
609,65157
608,65062
607,64967
606,64872
605,64777
604,64682
603,64587
602,64492
601,64397
600,64302
599,64207
598,64112
597,64017
596,63922
595,63827
594,63732
593,63637
592,63541
591,63445
590,63349
589,63253
588,63157
587,63061
586,62965
